input_size,seed,val_accuracy,best_epoch,epochs_run,n_parameters,recall_Blip,recall_Extremely_Loud,recall_Scattered_Light,recall_Violin_Mode,firing_layer1,firing_layer2,firing_layer3,firing_layer4
224,1234,0.9854,19,24,370596,0.9915,0.9884,0.9866,0.9753,0.1611,0.1904,0.2882,0.0789
224,2345,0.9861,10,16,370596,0.9886,0.9884,0.9892,0.9781,0.2983,0.2225,0.2681,0.0860
224,3456,0.9847,18,28,370596,0.9915,0.9913,0.9866,0.9699,0.2774,0.2548,0.2800,0.0921
112,1234,0.9784,13,14,295332,0.9915,0.9769,0.9812,0.9644,0.1504,0.2343,0.2662,0.1583
112,2345,0.9777,12,14,295332,0.9915,0.9740,0.9758,0.9699,0.3545,0.2548,0.2320,0.1782
112,3456,0.9840,15,24,295332,0.9943,0.9827,0.9892,0.9699,0.2281,0.2301,0.2529,0.1597
64,1234,0.9805,11,21,278436,0.9915,0.9884,0.9839,0.9589,0.1664,0.1772,0.2243,0.2026
64,2345,0.9826,18,22,278436,0.9915,0.9827,0.9866,0.9699,0.3768,0.3136,0.2999,0.2322
64,3456,0.9812,30,31,278436,0.9915,0.9798,0.9892,0.9644,0.2009,0.2761,0.2683,0.2087
